,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,country,latitude,longitude,Continent
123,206928765544.0,100.0,82.0,4.7,Auckland,81.9,9.0,11.49,English,12.6,3.59,4841000.0,69.9,29.0,34.6,4.07,"4,258,860",New Zealand,-40.900557,174.885971,Oceania
124,12520915291.0,120.6,17.4,15.7,Managua,74.3,98.0,0.54,Spanish,36.0,0.98,6545502.0,66.4,15.6,60.6,6.84,"3,846,137",Nicaragua,12.865416,-85.207229,America
125,12928145120.0,74.7,4.4,48.0,Niamey,62.0,509.0,0.29,French,52.3,0.04,23310715.0,72.0,11.8,47.2,0.47,"3,850,231",Niger,17.607789,8.081666,Asia
126,448120428859.0,84.7,10.2,75.7,Lagos,54.3,917.0,0.54,English,72.2,0.38,200963599.0,52.9,1.5,34.8,8.1,"102,806,948",Nigeria,9.081999,8.675277,Asia
127,32100000000.0,112.8,27.0,13.7,Pyongyang,72.1,89.0,,Korean,,3.67,25666161.0,80.4,,,2.74,"15,947,412",North Korea,40.339852,127.510093,Asia
128,10220781069.0,,,,Skopje,,,,Macedonian,35.6,,1836713.0,,,,,,North Macedonia,41.608635,21.745275,Europa
129,403336363636.0,100.3,82.0,2.1,Oslo,82.8,2.0,,Norwegian,14.3,2.92,5347896.0,63.8,23.9,36.2,3.35,"4,418,218",Norway,60.472024,8.468946,Europa
130,76983094928.0,103.4,38.0,9.8,Seeb,77.6,19.0,4.33,Arabic,6.4,2.0,5266535.0,72.4,2.5,27.4,2.67,"4,250,777",Oman,21.4735329,55.975413,Asia
131,304400000000.0,94.3,9.0,57.2,Karachi,67.1,140.0,0.69,Urdu,66.5,0.98,216565318.0,52.6,9.2,33.9,4.45,"79,927,762",Pakistan,30.375321,69.345116,Asia
132,283994900.0,112.6,54.7,16.6,Koror,69.1,,3.0,English,21.8,1.18,18233.0,,21.3,76.6,,"14,491",Palau,7.51498,134.58252,Asia
133,,,,,,,,,Arabic,,,,,,,,,Palestinian National Authority,31.952162,35.233154,Asia
134,66800800000.0,94.4,47.8,13.1,Panama City,78.3,52.0,1.53,Spanish,30.5,1.57,4246439.0,66.6,,37.2,3.9,"2,890,084",Panama,8.537981,-80.782127,America
135,24969611435.0,108.5,1.8,38.0,Port Moresby,64.3,145.0,1.16,Tok Pisin,5.8,0.07,8776109.0,47.2,13.6,37.1,2.46,"1,162,834",Papua New Guinea,-6.314993,143.95555,Asia
